county,year,pop
5023,2002,24324
5023,2003,24606
5023,2004,24868
5023,2005,25070
5023,2006,25176
5023,2007,25282
5023,2008,25334
5023,2009,25600
5023,2010,25999
5023,2011,25942
5023,2012,25824
5023,2013,999999
5023,2014,999999
5025,2001,8621
5025,2002,8596
5025,2003,8629
5025,2004,8652
5025,2005,8741
5025,2006,8692
5025,2007,8735
5025,2008,8597
5025,2009,8436
5025,2010,8686
5025,2011,8665
5025,2012,8615
5025,2013,999999
5025,2014,999999
5027,2001,25311
5027,2002,25171
5027,2003,24815
5027,2004,24791
5027,2005,24572
5027,2006,24622
5027,2007,24308
5027,2008,24104
5027,2009,23854
5027,2010,24747
5027,2011,24696
5027,2012,24429
5027,2013,999999
5027,2014,999999
5029,2001,20336
5029,2002,20297
5029,2003,20338
5029,2004,20351
5029,2005,20460
5029,2006,20481
5029,2007,20678
5029,2008,20677
5029,2009,20799
5029,2010,21239
5029,2011,21146
5029,2012,21205
5029,2013,999999
5029,2014,999999
5031,2001,83274
5031,2002,83978
5031,2003,84953
5031,2004,86296
5031,2005,87443
5031,2006,89669
5031,2007,91383
5031,2008,93419
5031,2009,95457
5031,2010,96727
5031,2011,98371
5031,2012,99948
5031,2013,999999
5031,2014,999999
5033,2001,54100
5033,2002,54698
5033,2003,55317
5033,2004,56149
5033,2005,56910
5033,2006,58077
5033,2007,59035
5033,2008,59577
5033,2009,60102
5033,2010,61977
5033,2011,61829
5033,2012,61940
5033,2013,999999
5033,2014,999999
5035,2001,51235
5035,2002,51166
5035,2003,50998
5035,2004,51264
5035,2005,51471
5035,2006,51817
5035,2007,52123
5035,2008,52561
5035,2009,53022
5035,2010,50947
5035,2011,50520
5035,2012,50065
5035,2013,999999
5035,2014,999999
5037,2001,19469
5037,2002,19254
5037,2003,19096
5037,2004,19046
5037,2005,19207
5037,2006,18911
5037,2007,18627
5037,2008,18718
5037,2009,18544
5037,2010,17833
5037,2011,17746
5037,2012,17651
5037,2013,999999
5037,2014,999999
5039,2001,8988
5039,2002,8780
5039,2003,8665
5039,2004,8637
5039,2005,8458
5039,2006,8321
5039,2007,8191
5039,2008,8107
5039,2009,7991
5039,2010,8068
5039,2011,8078
5039,2012,7979
5039,2013,999999
5039,2014,999999
5041,2001,14993
5041,2002,14647
5041,2003,14485
5041,2004,14377
5041,2005,14118
5041,2006,14016
5041,2007,13715
5041,2008,13478
5041,2009,13358
5041,2010,12964
5041,2011,12709
5041,2012,12575
5041,2013,999999
5041,2014,999999
5043,2001,18716
5043,2002,18486
5043,2003,18620
5043,2004,18693
5043,2005,18714
5043,2006,18814
5043,2007,18693
5043,2008,18652
5043,2009,18624
5043,2010,18657
5043,2011,18721
5043,2012,18762
5043,2013,999999
5043,2014,999999
5045,2001,88704
5045,2002,90392
5045,2003,93292
5045,2004,95710
5045,2005,98678
5045,2006,102331
5045,2007,104658
5045,2008,107289
5045,2009,109386
5045,2010,114065
5045,2011,116297
5045,2012,118534
5045,2013,999999
5045,2014,999999
5047,2001,17823
5047,2002,17829
5047,2003,17856
5047,2004,17879
5047,2005,17973
5047,2006,18031
5047,2007,18098
5047,2008,18069
5047,2009,18016
5047,2010,18124
5047,2011,18002
5047,2012,17957
5047,2013,999999
5047,2014,999999
5049,2001,11602
5049,2002,11586
5049,2003,11596
5049,2004,11760
5049,2005,11727
5049,2006,11643
5049,2007,11793
5049,2008,11750
5049,2009,11585
5049,2010,12216
5049,2011,12296
5049,2012,12246
5049,2013,999999
5049,2014,999999
5051,2001,89311
5051,2002,90151
5051,2003,91196
5051,2004,92028
5051,2005,93253
5051,2006,95492
5051,2007,96499
5051,2008,97700
5051,2009,98479
5051,2010,96123
5051,2011,96617
5051,2012,96794
5051,2013,999999
